locus tag,gene,BKE#,,
BSU00030,yaaA,BKE00030,,
BSU00040,recF,BKE00040,,
BSU00050,yaaB,BKE00050,,
BSU00080,yaaC,BKE00080,,
BSU00090,guaB,BKE00090,,
BSU00100,dacA,BKE00100,,
BSU00110,pdxS,BKE00110,,
BSU00120,pdxT,BKE00120,,
BSU00140,dck,BKE00140,,
BSU00150,dgk,BKE00150,,
BSU00160,yaaH,BKE00160,,
BSU00170,yaaI,BKE00170,,
BSU00180,tadA,BKE00180,,
BSU00200,yaaK,BKE00200,,
BSU00210,recR,BKE00210,,
BSU00220,yaaL,BKE00220,,
BSU00230,bofA,BKE00230,,
BSU00240,csfB,BKE00240,,
BSU00250,xpaC,BKE00250,,
BSU00260,yaaN,BKE00260,,
BSU00270,yaaO,BKE00270,,
BSU00290,yaaQ,BKE00290,,
BSU00300,yaaR,BKE00300,,
BSU00320,yaaT,BKE00320,,
BSU00330,yabA,BKE00330,,
BSU00340,yabB,BKE00340,,
BSU00350,yazA,BKE00350,,
BSU00360,yabC,BKE00360,,
BSU00370,abrB,BKE00370,,
BSU00390,yabD,BKE00390,,
BSU00400,yabE,BKE00400,,
BSU00410,rnmV,BKE00410,,
BSU00420,ksgA,BKE00420,,
BSU00430,yabG,BKE00430,,
BSU00440,veg,BKE00440,,
BSU00450,sspF,BKE00450,,
BSU00470,purR,BKE00470,,
BSU00480,yabJ,BKE00480,,
BSU00490,spoVG,BKE00490,,
BSU00520,ctc,BKE00520,,
BSU00540,yabK,BKE00540,,
BSU00550,mfd,BKE00550,,
BSU00560,spoVT,BKE00560,,
BSU00570,yabM,BKE00570,,
BSU00580,yabN,BKE00580,,
BSU00590,yabO,BKE00590,,
BSU00600,yabP,BKE00600,,
BSU00610,yabQ,BKE00610,,
BSU00630,yabR,BKE00630,,
BSU00640,spoIIE,BKE00640,,
BSU00650,yabS,BKE00650,,
BSU00660,yabT,BKE00660,,
BSU00680,hprT,BKE00680,,
BSU00690,ftsH,BKE00690,,
BSU00700,coaX,BKE00700,,
BSU00710,hslO,BKE00710,,
BSU00720,yacD,BKE00720,,
BSU00730,cysK,BKE00730,,
BSU00740,pabB,BKE00740,,
BSU00750,pabA,BKE00750,,
BSU00760,pabC,BKE00760,,
BSU00800,yazB,BKE00800,,
BSU00810,dusB,BKE00810,,
BSU00830,ctsR,BKE00830,,
BSU00840,mcsA,BKE00840,,
BSU00850,mcsB,BKE00850,,
BSU00860,clpC,BKE00860,,
BSU00870,radA,BKE00870,,
BSU00880,disA,BKE00880,,
BSU00890,yacL,BKE00890,,
BSU00930,cysE,BKE00930,,
BSU00950,mrnC,BKE00950,,
BSU00960,rlmB,BKE00960,,
BSU00970,yacP,BKE00970,,
BSU00980,sigH,BKE00980,,
BSU00990,rpmGB,BKE00990,,
BSU01010,nusG,BKE01010,,
BSU01020,rplK,BKE01020,,
BSU01030,rplA,BKE01030,,
BSU01060,ybxB,BKE01060,,
BSU01090,rplGB,BKE01090,,
BSU01140,ybaC,BKE01140,,
BSU01210,rplV,BKE01210,,
BSU01240,rpmC,BKE01240,,
BSU01350,rplO,BKE01350,,
BSU01380,mapA,BKE01380,,
BSU01389,ybzG,BKE01389,,
BSU01400,rpmJ,BKE01400,,
BSU01450,ybxA,BKE01450,,
BSU01460,ybaE,BKE01460,,
BSU01470,ybaF,BKE01470,,
BSU01480,truA,BKE01480,,
BSU01510,ybaJ,BKE01510,,
BSU01520,ybaK,BKE01520,,
BSU01530,cwlD,BKE01530,,
BSU01540,salA,BKE01540,,
BSU01550,gerD,BKE01550,,
BSU01560,kbaA,BKE01560,,
BSU01570,ybaN,BKE01570,,
BSU01580,ybaR,BKE01580,,
BSU01590,ybaS,BKE01590,,
BSU01600,ybbA,BKE01600,,
BSU01610,feuC,BKE01610,,
BSU01620,feuB,BKE01620,,
BSU01630,feuA,BKE01630,,
BSU01640,ybbB,BKE01640,,
BSU01650,ybbC,BKE01650,,
BSU01660,ybbD,BKE01660,,
BSU01670,ybbE,BKE01670,,
BSU01680,ybbF,BKE01680,,
BSU01690,ybbH,BKE01690,,
BSU01700,murQ,BKE01700,,
BSU01710,ybbJ,BKE01710,,
BSU01720,ybbK,BKE01720,,
BSU01730,sigW,BKE01730,,
BSU01740,rsiW,BKE01740,,
BSU01750,ybbP,BKE01750,,
BSU01760,ybbR,BKE01760,,
BSU01800,alkA,BKE01800,,
BSU01810,adaA,BKE01810,,
BSU01820,adaB,BKE01820,,
BSU01830,ndhF,BKE01830,,
BSU01845,ybcC,BKE01845,,
BSU01860,ybcF,BKE01860,,
BSU01870,ybcH,BKE01870,,
BSU01880,ybcI,BKE01880,,
BSU01889,ybzH,BKE01889,,
BSU01890,ybcL,BKE01890,,
BSU01900,ybcM,BKE01900,,
BSU01910,skfA,BKE01910,,
BSU01920,skfB,BKE01920,,
BSU01935,skfC,BKE01935,,
BSU01950,skfE,BKE01950,,
BSU01960,skfF,BKE01960,,
BSU01970,skfG,BKE01970,,
BSU01980,skfH,BKE01980,,
BSU01990,ybdG,BKE01990,,
BSU02000,ybdJ,BKE02000,,
BSU02010,ybdK,BKE02010,,
BSU02019,ybzI,BKE02019,,
BSU02030,ybdM,BKE02030,,
BSU02040,ybdN,BKE02040,,
BSU02050,ybdO,BKE02050,,
BSU02060,ybxG,BKE02060,,
BSU02070,csgA,BKE02070,,
BSU02080,ybxH,BKE02080,,
BSU02090,ybxI,BKE02090,,
BSU02100,cypC,BKE02100,,
BSU02110,ybyB,BKE02110,,
BSU02120,ybeC,BKE02120,,
BSU02130,glpQ,BKE02130,,
BSU02140,glpT,BKE02140,,
BSU02150,ybeF,BKE02150,,
BSU02160,ybfA,BKE02160,,
BSU02170,ybfB,BKE02170,,
BSU02180,ybfE,BKE02180,,
BSU02190,ybfF,BKE02190,,
BSU02200,ybfG,BKE02200,,
BSU02210,ybfH,BKE02210,,
BSU02220,ybfI,BKE02220,,
BSU02230,purT,BKE02230,,
BSU02240,mpr,BKE02240,,
BSU02250,ybfJ,BKE02250,,
BSU02260,ybfK,BKE02260,,
BSU02270,pssA,BKE02270,,
BSU02280,ybfM,BKE02280,,
BSU02290,psd,BKE02290,,
BSU02300,ybfN,BKE02300,,
BSU02310,ybfO,BKE02310,,
BSU02320,ybfP,BKE02320,,
BSU02330,ybfQ,BKE02330,,
BSU02340,gltP,BKE02340,,
BSU02350,nagP,BKE02350,,
BSU02360,nagBB,BKE02360,,
BSU02370,ybgA,BKE02370,,
BSU02380,ybgB,BKE02380,,
BSU02390,ilvE,BKE02390,,
BSU02400,ybgF,BKE02400,,
BSU02410,ybgG,BKE02410,,
BSU02420,glnT,BKE02420,,
BSU02430,glsA,BKE02430,,
BSU02440,glnJ,BKE02440,,
BSU02450,glnL,BKE02450,,
BSU02460,ycbC,BKE02460,,
BSU02470,ycbD,BKE02470,,
BSU02480,gudP,BKE02480,,
BSU02490,gudD,BKE02490,,
BSU02500,ycbG,BKE02500,,
BSU02510,garD,BKE02510,,
BSU02520,ycbJ,BKE02520,,
BSU02530,rtpA,BKE02530,,
BSU02540,ycbK,BKE02540,,
BSU02550,ycbL,BKE02550,,
BSU02560,ycbM,BKE02560,,
BSU02570,ycbN,BKE02570,,
BSU02580,ycbO,BKE02580,,
BSU02590,ycbP,BKE02590,,
BSU02600,cwlJ,BKE02600,,
BSU02610,ycbR,BKE02610,,
BSU02619,yczK,BKE02619,,
BSU02620,phoD,BKE02620,,
BSU02630,tatAD,BKE02630,,
BSU02640,tatCD,BKE02640,,
BSU02650,pcp,BKE02650,,
BSU02660,ycbU,BKE02660,,
BSU02670,lmrB,BKE02670,,
BSU02680,lmrA,BKE02680,,
BSU02690,ansZ,BKE02690,,
BSU02700,estA,BKE02700,,
BSU02710,yczC,BKE02710,,
BSU02720,yccF,BKE02720,,
BSU02730,natK,BKE02730,,
BSU02740,natR,BKE02740,,
BSU02750,natA,BKE02750,,
BSU02760,natB,BKE02760,,
BSU02770,yccK,BKE02770,,
BSU02780,ycdA,BKE02780,,
BSU02790,ycdB,BKE02790,,
BSU02800,ycdC,BKE02800,,
BSU02810,cwlK,BKE02810,,
BSU02820,rapJ,BKE02820,,
BSU02830,ycdF,BKE02830,,
BSU02840,ycdG,BKE02840,,
BSU02850,adcA,BKE02850,,
BSU02860,adcC,BKE02860,,
BSU02870,adcB,BKE02870,,
BSU02880,yceB,BKE02880,,
BSU02890,yceC,BKE02890,,
BSU02900,yceD,BKE02900,,
BSU02910,yceE,BKE02910,,
BSU02920,yceF,BKE02920,,
BSU02930,yceG,BKE02930,,
BSU02940,yceH,BKE02940,,
BSU02950,yceI,BKE02950,,
BSU02960,yceJ,BKE02960,,
BSU02970,yceK,BKE02970,,
BSU02980,opuAA,BKE02980,,
BSU02990,opuAB,BKE02990,,
BSU03000,opuAC,BKE03000,,
BSU03010,amhX,BKE03010,,
BSU03020,ycgA,BKE03020,,
BSU03030,ycgB,BKE03030,,
BSU03040,amyE,BKE03040,,
BSU03050,ldh,BKE03050,,
BSU03060,lctP,BKE03060,,
BSU03070,mdr,BKE03070,,
BSU03080,ycgE,BKE03080,,
BSU03090,ycgF,BKE03090,,
BSU03100,ycgG,BKE03100,,
BSU03110,ycgH,BKE03110,,
