locus tag,gene,BKK#,,
BSU00030,yaaA,BKK00030,,
BSU00040,recF,BKK00040,,
BSU00050,yaaB,BKK00050,,
BSU00080,yaaC,BKK00080,,
BSU00090,guaB,BKK00090,,
BSU00100,dacA,BKK00100,,
BSU00110,pdxS,BKK00110,,
BSU00120,pdxT,BKK00120,,
BSU00140,dck,BKK00140,,
BSU00150,dgk,BKK00150,,
BSU00160,yaaH,BKK00160,,
BSU00170,yaaI,BKK00170,,
BSU00180,tadA,BKK00180,,
BSU00200,yaaK,BKK00200,,
BSU00210,recR,BKK00210,,
BSU00220,yaaL,BKK00220,,
BSU00230,bofA,BKK00230,,
BSU00240,csfB,BKK00240,,
BSU00250,xpaC,BKK00250,,
BSU00260,yaaN,BKK00260,,
BSU00270,yaaO,BKK00270,,
BSU00290,yaaQ,BKK00290,,
BSU00300,yaaR,BKK00300,,
BSU00320,yaaT,BKK00320,,
BSU00330,yabA,BKK00330,,
BSU00340,yabB,BKK00340,,
BSU00350,yazA,BKK00350,,
BSU00360,yabC,BKK00360,,
BSU00370,abrB,BKK00370,,
BSU00390,yabD,BKK00390,,
BSU00400,yabE,BKK00400,,
BSU00410,rnmV,BKK00410,,
BSU00420,ksgA,BKK00420,,
BSU00430,yabG,BKK00430,,
BSU00440,veg,BKK00440,,
BSU00450,sspF,BKK00450,,
BSU00470,purR,BKK00470,,
BSU00480,yabJ,BKK00480,,
BSU00490,spoVG,BKK00490,,
BSU00520,ctc,BKK00520,,
BSU00540,yabK,BKK00540,,
BSU00550,mfd,BKK00550,,
BSU00560,spoVT,BKK00560,,
BSU00570,yabM,BKK00570,,
BSU00580,yabN,BKK00580,,
BSU00590,yabO,BKK00590,,
BSU00600,yabP,BKK00600,,
BSU00610,yabQ,BKK00610,,
BSU00630,yabR,BKK00630,,
BSU00640,spoIIE,BKK00640,,
BSU00650,yabS,BKK00650,,
BSU00660,yabT,BKK00660,,
BSU00680,hprT,BKK00680,,
BSU00690,ftsH,BKK00690,,
BSU00700,coaX,BKK00700,,
BSU00710,hslO,BKK00710,,
BSU00720,yacD,BKK00720,,
BSU00730,cysK,BKK00730,,
BSU00740,pabB,BKK00740,,
BSU00750,pabA,BKK00750,,
BSU00760,pabC,BKK00760,,
BSU00800,yazB,BKK00800,,
BSU00810,dusB,BKK00810,,
BSU00830,ctsR,BKK00830,,
BSU00840,mcsA,BKK00840,,
BSU00850,mcsB,BKK00850,,
BSU00860,clpC,BKK00860,,
BSU00870,radA,BKK00870,,
BSU00880,disA,BKK00880,,
BSU00890,yacL,BKK00890,,
BSU00930,cysE,BKK00930,,
BSU00950,mrnC,BKK00950,,
BSU00960,rlmB,BKK00960,,
BSU00970,yacP,BKK00970,,
BSU00980,sigH,BKK00980,,
BSU00990,rpmGB,BKK00990,,
BSU01010,nusG,BKK01010,,
BSU01020,rplK,BKK01020,,
BSU01030,rplA,BKK01030,,
BSU01060,ybxB,BKK01060,,
BSU01090,rplGB,BKK01090,,
BSU01140,ybaC,BKK01140,,
BSU01240,rpmC,BKK01240,,
BSU01350,rplO,BKK01350,,
BSU01380,mapA,BKK01380,,
BSU01389,ybzG,BKK01389,,
BSU01400,rpmJ,BKK01400,,
BSU01450,ybxA,BKK01450,,
BSU01460,ybaE,BKK01460,,
BSU01470,ybaF,BKK01470,,
BSU01480,truA,BKK01480,,
BSU01510,ybaJ,BKK01510,,
BSU01520,ybaK,BKK01520,,
BSU01530,cwlD,BKK01530,,
BSU01540,salA,BKK01540,,
BSU01550,gerD,BKK01550,,
BSU01560,kbaA,BKK01560,,
BSU01570,ybaN,BKK01570,,
BSU01580,ybaR,BKK01580,,
BSU01590,ybaS,BKK01590,,
BSU01600,ybbA,BKK01600,,
BSU01610,feuC,BKK01610,,
BSU01620,feuB,BKK01620,,
BSU01630,feuA,BKK01630,,
BSU01640,ybbB,BKK01640,,
BSU01650,ybbC,BKK01650,,
BSU01660,ybbD,BKK01660,,
BSU01670,ybbE,BKK01670,,
BSU01680,ybbF,BKK01680,,
BSU01690,ybbH,BKK01690,,
BSU01700,murQ,BKK01700,,
BSU01710,ybbJ,BKK01710,,
BSU01720,ybbK,BKK01720,,
BSU01730,sigW,BKK01730,,
BSU01740,rsiW,BKK01740,,
BSU01750,ybbP,BKK01750,,
BSU01760,ybbR,BKK01760,,
BSU01800,alkA,BKK01800,,
BSU01810,adaA,BKK01810,,
BSU01820,adaB,BKK01820,,
BSU01830,ndhF,BKK01830,,
BSU01845,ybcC,BKK01845,,
BSU01860,ybcF,BKK01860,,
BSU01870,ybcH,BKK01870,,
BSU01880,ybcI,BKK01880,,
BSU01889,ybzH,BKK01889,,
BSU01890,ybcL,BKK01890,,
BSU01900,ybcM,BKK01900,,
BSU01910,skfA,BKK01910,,
BSU01920,skfB,BKK01920,,
BSU01935,skfC,BKK01935,,
BSU01950,skfE,BKK01950,,
BSU01960,skfF,BKK01960,,
BSU01970,skfG,BKK01970,,
BSU01980,skfH,BKK01980,,
BSU01990,ybdG,BKK01990,,
BSU02000,ybdJ,BKK02000,,
BSU02010,ybdK,BKK02010,,
BSU02019,ybzI,BKK02019,,
