ID_ECK,ID_b,ID_JW,name,strain_loc_plate,strain_loc_column,strain_loc_row,category_strain_1_odd_plate,category_strain_2_even_plate,comment
ECK2423,b2428,JW2421,yfeU,"5, 6",H,10,verified,verified,
ECK2424,b2429,JW2422,murP,"27, 28",C,9,verified,verified,
ECK2425,b2430,JW5395,yfeW,"77, 78",E,11,verified,verified,
ECK2426,b2431,JW2424,yfeX,"17, 18",D,5,verified,verified,
ECK2427,b2432,JW2425,yfeY,"9, 10",C,12,verified,verified,
ECK2428,b2433,JW2426,yfeZ,"9, 10",D,12,verified,verified,
ECK2429,b2434,JW2427,ypeA,"21, 22",D,11,verified,verified,
ECK2430,b2435,JW2428,amiA,"45, 46",F,4,verified,verified,
ECK2431,b2436,JW2429,hemF,"43, 44",G,6,verified,verified,
ECK2432,b2437,JW2430,yfeG,"27, 28",F,3,use other isolate ,verified,
ECK2433,b2438,JW2431,yffI,"27, 28",D,9,use other isolate ,verified,
ECK2434,b2439,JW2432,eutL,"9, 10",E,12,verified,verified,
ECK2435,b2440,JW2433,eutC,"49, 50",C,3,verified,verified,
ECK2436,b2441,JW2434,eutB,"59, 60",E,12,verified,verified,
ECK2446,b2451,JW2435,eutA,"9, 10",F,12,verified,verified,
ECK2447,b2452,JW2436,eutH,"51, 52",H,5,verified,verified,
ECK2448,b2453,JW2437,eutG,"59, 60",F,12,verified,verified,
ECK2449,b2454,JW2438,eutJ,"27, 28",G,3,verified,verified,
ECK2450,b2455,JW2439,eutE,"51, 52",A,6,verified,verified,
ECK2451,b2456,JW2440,cchB,"27, 28",E,9,verified,verified,
ECK2452,b2457,JW2441,cchA,"27, 28",F,9,verified,verified,
ECK2453,b2458,JW2442,eutI,"65, 66",E,3,verified,verified,
ECK2454,b2459,JW2443,eutT,"9, 10",G,12,verified,verified,
ECK2455,b2460,JW2444,eutQ,"9, 10",H,12,verified,verified,
ECK2456,b2461,JW2445,eutP,"11, 12",A,1,verified,verified,
ECK2457,b2462,JW2446,ypfE,"11, 12",B,1,verified,verified,
ECK2458,b2463,JW2447,maeB,"3, 4",D,5,verified,verified,
ECK2459,b2464,JW2448,talA,"3, 4",E,5,verified,verified,
ECK2460,b2465,JW2449,tktB,"3, 4",F,5,verified,verified,
ECK2461,b2466,JW2450,ypfG,"11, 12",C,1,verified,verified,
ECK2462,b2467,JW2451,yffH,"21, 22",E,11,verified,verified,
ECK2463,b2468,JW2452,aegA,"53, 54",D,9,verified,verified,
ECK2464,b2469,JW2453,narQ,"3, 4",E,12,verified,verified,
ECK2465,b2470,JW2454,acrD,"57, 58",D,9,verified,verified,
ECK2466,b2471,JW2455,yffB,"17, 18",C,10,verified,verified,
ECK2468,b4547,JW2457,ypfN,"11, 12",D,1,verified,verified,
ECK2469,b2473,JW5396,ypfH,"89, 90",D,9,verified,verified,
ECK2470,b2474,JW2459,ypfI,"17, 18",D,10,verified,verified,
ECK2471,b2475,JW2460,ypfJ,"89, 90",C,7,verified,verified,
ECK2472,b2476,JW2461,purC,"85, 86",F,4,verified,verified,
ECK2473,b2477,JW2462,nlpB,"7, 8",D,4,verified,verified,
ECK2475,b2479,JW2464,gcvR,"59, 60",G,12,verified,verified,
ECK2476,b2480,JW2465,bcp,"45, 46",F,11,verified,verified,
ECK2477,b2481,JW2466,hyfA,"59, 60",H,12,verified,verified,
ECK2478,b2482,JW2467,hyfB,"57, 58",D,6,verified,verified,
ECK2479,b2483,JW2468,hyfC,"65, 66",B,4,verified,verified,
ECK2480,b2484,JW2469,hyfD,"57, 58",E,6,verified,verified,
ECK2481,b2485,JW2470,hyfE,"57, 58",F,6,verified,verified,
ECK2482,b2486,JW2471,hyfF,"57, 58",G,6,verified,verified,
ECK2483,b2487,JW2472,hyfG,"57, 58",H,6,verified,verified,
ECK2484,b2488,JW2473,hyfH,"57, 58",A,7,verified,verified,
ECK2485,b2489,JW5805,hyfI,"79, 80",D,5,verified,verified,
ECK2486,b2490,JW2475,hyfJ,"61, 62",A,1,verified,verified,
ECK2487,b2491,JW2476,hyfR,"9, 10",D,2,verified,verified,
ECK2488,b2492,JW2477,focB,"57, 58",E,9,verified,verified,
ECK2489,b2493,JW2478,yfgO,"57, 58",F,9,verified,verified,
ECK2490,b2494,JW2479,yfgC,"29, 30",D,10,verified,verified,
ECK2491,b2495,JW2480,yfgD,"63, 64",A,5,verified,verified,
ECK2492,b2496,JW5397,hda,"69, 70",F,3,verified,verified,
ECK2493,b2497,JW2482,uraA,"57, 58",G,9,verified,verified,
ECK2494,b2498,JW2483,upp,"61, 62",B,1,verified,verified,
ECK2495,b2499,JW2484,purM,"53, 54",E,4,verified,verified,
ECK2496,b2500,JW2485,purN,"53, 54",F,4,verified,verified,
ECK2497,b2501,JW2486,ppk,"5, 6",D,10,verified,verified,
ECK2498,b2502,JW2487,ppx,"47, 48",A,7,verified,verified,
ECK2499,b2503,JW2488,yfgF,"21, 22",F,11,verified,verified,
ECK2500,b2504,JW5399,yfgG,"69, 70",H,3,verified,verified,
ECK2501,b2505,JW5400,yfgH,"77, 78",F,11,verified,verified,
ECK2502,b2506,JW2490,yfgI,"83, 84",C,1,verified,verified,
ECK2503,b2507,JW2491,guaA,"85, 86",G,4,verified,verified,
ECK2504,b2508,JW5401,guaB,"69, 70",A,4,verified,verified,
ECK2505,b2509,JW2493,xseA,"53, 54",G,4,verified,verified,
ECK2506,b2510,JW5402,yfgJ,"77, 78",G,11,verified,verified,
ECK2508,b2512,JW2496,yfgL,"19, 20",H,1,verified,verified,
ECK2509,b2513,JW2497,yfgM,"5, 6",B,11,verified,verified,
ECK2512,b2516,JW2500,yfgA,"21, 22",H,11,verified,use other isolate ,
ECK2513,b2517,JW2501,yfgB,"21, 22",E,2,verified,verified,
ECK2514,b2518,JW2502,ndk,"85, 86",F,5,verified,verified,
ECK2515,b2519,JW2503,pbpC,"83, 84",G,9,verified,verified,
ECK2516,b2520,JW2504,yfhM,"11, 12",F,1,verified,verified,
