ID_ECK,ID_b,ID_JW,name,strain_loc_plate,strain_loc_column,strain_loc_row,category_strain_1_odd_plate,category_strain_2_even_plate,comment
ECK0001,b0001,JW4367,thrL,"79, 80",D,11,verified,use other isolate ,1st-external
ECK0002,b0002,JW0001,thrA,"83, 84",A,8,verified,verified,
ECK0003,b0003,JW0002,thrB,"41, 42",C,2,verified,verified,
ECK0004,b0004,JW0003,thrC,"65, 66",D,2,verified,verified,
ECK0005,b0005,JW0004,yaaX,"17, 18",E,6,verified,verified,
ECK0006,b0006,JW0005,yaaA,"27, 28",C,10,verified,verified,
ECK0007,b0007,JW0006,yaaJ,"25, 26",F,4,verified,verified,
ECK0008,b0008,JW0007,talB,"1, 2",H,10,verified,verified,
ECK0009,b0009,JW0008,mog,"31, 32",H,1,verified,verified,
ECK0010,b0010,JW0009,yaaH,"19, 20",B,2,use other isolate ,verified,1st-external
ECK0011,b0011,JW0010,yaaW,"27, 28",D,10,verified,verified,
ECK0012,b0012,JW5001,htgA,"67, 68",C,4,verified,verified,
ECK0013,b0013,JW0012,yaaI,"17, 18",F,6,verified,verified,
ECK0014,b0014,JW0013,dnaK,"45, 46",E,8,verified,verified,
ECK0015,b0015,JW0014,dnaJ,"45, 46",F,8,verified,verified,
ECK0017,b4412,JW5002,hokC,"89, 90",D,8,verified,verified,
ECK0020,b0019,JW0018,nhaA,"39, 40",E,10,verified,verified,
ECK0021,b0020,JW0019,nhaR,"1, 2",C,7,verified,mixture,single colony isolates from even plate were tested by external PCR
ECK0024,b0023,JW0022,rpsT,"89, 90",G,5,verified,verified,
ECK0025,b0024,JW5003,yaaY,"89, 90",E,8,verified,verified,
ECK0027,b0026,JW0024,ileS,"57, 58",H,3,duplication,duplication,
ECK0029,b0028,JW0026,fkpB,"79, 80",A,10,verified,verified,
ECK0031,b0030,JW0028,rihC,"49, 50",C,4,verified,verified,
ECK0033,b0032,JW0030,carA,"85, 86",C,4,verified,verified,
ECK0034,b0033,JW0031,carB,"49, 50",D,4,verified,verified,
ECK0035,b0034,JW0033,caiF,"59, 60",A,6,verified,verified,
ECK0036,b0035,JW5004,caiE,"67, 68",D,4,verified,verified,
ECK0037,b0036,JW0035,caiD,"49, 50",D,1,verified,verified,
ECK0038,b0037,JW0036,caiC,"41, 42",D,2,verified,verified,
ECK0039,b0038,JW0037,caiB,"85, 86",G,3,verified,verified,
ECK0040,b0039,JW0038,caiA,"85, 86",H,3,verified,verified,
ECK0041,b0040,JW0039,caiT,"49, 50",E,1,verified,verified,
ECK0042,b0041,JW0040,fixA,"85, 86",A,10,verified,verified,
ECK0043,b0042,JW0041,fixB,"49, 50",F,1,verified,verified,
ECK0044,b0043,JW0042,fixC,"49, 50",G,1,verified,verified,
ECK0045,b0044,JW0043,fixX,"49, 50",F,8,verified,verified,
ECK0046,b0045,JW0044,yaaU,"39, 40",F,10,verified,verified,
ECK0047,b0046,JW0045,kefF,"49, 50",G,8,verified,verified,
ECK0048,b0047,JW0046,kefC,"39, 40",G,10,verified,verified,
ECK0050,b0049,JW0048,apaH,"49, 50",E,4,verified,verified,
ECK0051,b0050,JW0049,apaG,"81, 82",H,3,verified,verified,
ECK0052,b0051,JW0050,ksgA,"49, 50",F,4,verified,verified,
ECK0053,b0052,JW0051,pdxA,"43, 44",C,1,verified,verified,
ECK0054,b0053,JW0052,surA,"61, 62",G,9,verified,verified,
ECK0056,b0055,JW0054,djlA,"29, 30",C,8,verified,verified,
ECK0057,b0056,JW0055,yabP,"79, 80",D,8,verified,verified,
ECK0059,b0058,JW0057,rluA,"67, 68",G,1,verified,verified,
ECK0060,b0059,JW0058,hepA,"7, 8",C,9,verified,verified,
ECK0061,b0060,JW0059,polB,"85, 86",E,5,verified,verified,
ECK0065,b0064,JW0063,araC,"83, 84",C,3,verified,verified,
ECK0066,b0065,JW5005,yabI,"73, 74",G,10,verified,verified,
ECK0067,b0066,JW0065,thiQ,"27, 28",E,10,verified,verified,
ECK0068,b0067,JW0066,thiP,"25, 26",G,4,verified,verified,
ECK0069,b0068,JW0067,tbpA,"59, 60",B,6,verified,verified,
ECK0070,b0069,JW0068,sgrR,"25, 26",H,4,verified,verified,
ECK0072,b0070,JW0069,setA,"39, 40",H,10,use other isolate ,verified,
ECK0073,b0071,JW0070,leuD,"41, 42",E,2,verified,verified,
ECK0074,b0072,JW0071,leuC,"41, 42",F,2,verified,verified,
ECK0075,b0073,JW5807,leuB,"87, 88",A,7,verified,verified,
ECK0076,b0074,JW0073,leuA,"41, 42",G,2,verified,verified,
ECK0077,b0075,JW0074,leuL,"41, 42",H,2,use other isolate ,verified,1st-external
ECK0078,b0076,JW0075,leuO,"1, 2",E,5,verified,verified,
ECK0079,b0077,JW0076,ilvI,"59, 60",C,6,verified,verified,
ECK0080,b0078,JW0077,ilvH,"41, 42",A,3,verified,verified,
ECK0081,b0080,JW0078,fruR,"1, 2",C,10,verified,verified,
ECK0082,b0081,JW0079,mraZ,"21, 22",A,3,verified,verified,
ECK0083,b0082,JW0080,mraW,"19, 20",A,9,verified,verified,
ECK0093,b0092,JW0090,ddlB,"91, 92",A,3,verified,verified,
ECK0100,b0099,JW0097,mutT,"85, 86",D,4,verified,verified,
ECK0101,b0101,JW5008,yacG,"73, 74",H,10,verified,verified,
ECK0102,b0102,JW0099,yacF,"17, 18",H,6,verified,use other isolate ,
ECK0103,b0103,JW0100,coaE,"5, 6",A,9,duplication,duplication,
ECK0104,b0104,JW0101,guaC,"49, 50",G,4,verified,verified,
ECK0105,b0106,JW0102,hofC,"39, 40",A,11,verified,verified,
ECK0106,b0107,JW0103,hofB,"39, 40",B,11,verified,verified,
ECK0107,b0108,JW0104,ppdD,"7, 8",A,10,verified,verified,
ECK0108,b0109,JW0105,nadC,"43, 44",D,1,verified,verified,
ECK0109,b0110,JW0106,ampD,"61, 62",H,9,verified,duplication,
ECK0110,b0111,JW0107,ampE,"61, 62",A,10,verified,verified,
ECK0111,b0112,JW0108,aroP,"39, 40",C,11,verified,verified,
ECK0112,b0113,JW0109,pdhR,"1, 2",D,7,verified,verified,
ECK0113,b0114,JW0110,aceE,"5, 6",F,9,verified,verified,
ECK0114,b0115,JW0111,aceF,"1, 2",A,11,verified,verified,
ECK0115,b0116,JW0112,lpd,"5, 6",G,9,verified,verified,
ECK0116,b0117,JW0113,yacH,"17, 18",A,7,verified,verified,
ECK0117,b0118,JW0114,acnB,"1, 2",B,11,verified,verified,
ECK0118,b0119,JW0115,yacL,"19, 20",A,5,verified,verified,
ECK0119,b0120,JW0116,speD,"47, 48",B,2,verified,verified,
ECK0120,b0121,JW0117,speE,"5, 6",G,8,verified,verified,
ECK0121,b0122,JW0118,yacC,"17, 18",B,7,verified,verified,
ECK0122,b0123,JW0119,cueO,"81, 82",E,2,verified,verified,
ECK0123,b0124,JW0120,gcd,"7, 8",D,7,verified,verified,
ECK0124,b0125,JW5009,hpt,"85, 86",A,11,verified,verified,
ECK0126,b0127,JW0123,yadG,"39, 40",D,11,verified,verified,
ECK0127,b0128,JW0124,yadH,"81, 82",C,5,verified,verified,
ECK0128,b0129,JW0125,yadI,"27, 28",F,10,use other isolate ,verified,
ECK0129,b0130,JW0126,yadE,"19, 20",B,5,verified,verified,
ECK0130,b0131,JW0127,panD,"65, 66",G,2,verified,verified,
ECK0131,b0132,JW5010,yadD,"73, 74",A,11,verified,verified,
ECK0132,b0133,JW0129,panC,"43, 44",E,1,verified,verified,
ECK0133,b0134,JW0130,panB,"43, 44",F,1,verified,verified,
ECK0134,b0135,JW0131,yadC,"27, 28",G,10,verified,verified,
ECK0135,b0136,JW0132,yadK,"17, 18",D,7,verified,verified,
ECK0136,b0137,JW0133,yadL,"17, 18",E,7,verified,verified,
ECK0137,b0138,JW0134,yadM,"81, 82",D,9,verified,verified,
ECK0138,b0139,JW0135,htrE,"43, 44",F,9,verified,verified,
ECK0139,b0140,JW0136,ecpD,"83, 84",H,8,verified,verified,
ECK0140,b0141,JW0137,yadN,"27, 28",H,10,verified,verified,
ECK0142,b0143,JW5808,pcnB,"87, 88",B,7,verified,verified,
ECK0143,b0144,JW5892,yadB,"27, 28",A,11,verified,verified,
ECK0144,b0145,JW0141,dksA,"29, 30",E,11,verified,verified,
ECK0145,b0146,JW0142,sfsA,"49, 50",H,8,verified,verified,
ECK0146,b0147,JW5011,ligT,"67, 68",F,4,verified,verified,
ECK0147,b0148,JW0144,hrpB,"7, 8",D,9,verified,verified,
ECK0148,b0149,JW0145,mrcB,"7, 8",B,10,verified,verified,
ECK0149,b0150,JW0146,fhuA,"5, 6",G,6,verified,verified,
ECK0150,b0151,JW0147,fhuC,"39, 40",E,11,verified,verified,
ECK0151,b0152,JW0148,fhuD,"39, 40",F,11,verified,verified,
ECK0152,b0153,JW0149,fhuB,"39, 40",G,11,verified,verified,
ECK0154,b0155,JW5012,clcA,"73, 74",B,11,verified,verified,
ECK0156,b0157,JW0153,yadS,"19, 20",C,2,verified,verified,
ECK0157,b0158,JW0154,btuF,"19, 20",C,12,verified,verified,
ECK0158,b0159,JW0155,pfs,"49, 50",H,4,verified,verified,
ECK0159,b0160,JW0156,dgt,"49, 50",A,5,verified,verified,
ECK0160,b0161,JW0157,degP,"7, 8",C,10,verified,verified,
ECK0161,b0162,JW5013,cdaR,"73, 74",C,11,verified,verified,
ECK0162,b0163,JW0159,yaeH,"17, 18",F,7,verified,verified,
ECK0163,b0164,JW5014,yaeI,"73, 74",D,11,verified,verified,
ECK0165,b0167,JW0162,glnD,"89, 90",F,3,verified,verified,
ECK0177,b0178,JW0173,hlpA,"29, 30",D,8,verified,verified,
ECK0182,b0183,JW0178,rnhB,"49, 50",B,5,verified,verified,
ECK0185,b0186,JW0181,ldcC,"47, 48",C,2,verified,verified,
ECK0186,b0187,JW0182,yaeR,"21, 22",C,1,verified,verified,
ECK0188,b0189,JW0184,rof,"27, 28",F,6,verified,verified,
ECK0189,b4406,JW0185,yaeP,"17, 18",G,7,verified,verified,1st-external
ECK0190,b0190,JW0186,yaeQ,"17, 18",H,7,verified,verified,
ECK0191,b0191,JW0187,yaeJ,"25, 26",B,5,verified,verified,
ECK0192,b0192,JW0188,nlpE,"7, 8",G,3,verified,verified,
ECK0193,b0193,JW5016,yaeF,"73, 74",E,11,verified,verified,
ECK0195,b0195,JW0191,yaeB,"21, 22",H,3,verified,verified,
ECK0196,b0196,JW0192,rcsF,"43, 44",G,9,verified,verified,
ECK0197,b0197,JW0193,metQ,"27, 28",B,11,verified,verified,
ECK0198,b0198,JW0194,metI,"79, 80",D,7,verified,verified,
ECK0199,b0199,JW0195,metN,"39, 40",H,11,verified,verified,
ECK0200,b0200,JW0196,gmhB,"81, 82",D,5,verified,verified,
ECK0207,b0207,JW0197,dkgB,"89, 90",B,7,verified,verified,
ECK0208,b0208,JW0198,yafC,"1, 2",F,9,verified,verified,
ECK0209,b0209,JW5017,yafD,"73, 74",F,11,verified,verified,
ECK0210,b0210,JW0200,yafE,"25, 26",C,5,verified,verified,
ECK0211,b0211,JW5018,mltD,"67, 68",G,4,verified,verified,
ECK0212,b0212,JW0202,gloB,"47, 48",D,2,verified,verified,
ECK0213,b0213,JW0203,yafS,"17, 18",B,8,verified,verified,
ECK0214,b0214,JW0204,rnhA,"49, 50",C,5,verified,use other isolate ,
ECK0215,b0215,JW0205,dnaQ,"53, 54",C,11,verified,verified,
ECK0217,b0217,JW0206,yafT,"17, 18",C,8,verified,verified,
ECK0218,b0218,JW0207,yafU,"31, 32",G,4,verified,verified,
ECK0220,b0219,JW5019,yafV,"73, 74",G,11,verified,verified,
ECK0221,b0220,JW0210,ivy,"27, 28",G,6,verified,verified,
ECK0222,b0221,JW5020,fadE,"73, 74",H,11,verified,verified,
ECK0223,b0222,JW0212,lpcA,"49, 50",A,9,verified,verified,
ECK0224,b0223,JW0213,yafJ,"25, 26",E,5,verified,verified,
ECK0225,b0224,JW0214,yafK,"17, 18",D,8,verified,verified,
ECK0226,b0225,JW0215,yafQ,"19, 20",D,2,verified,verified,
ECK0227,b0226,JW0216,dinJ,"27, 28",C,11,verified,verified,
ECK0228,b0227,JW0217,yafL,"31, 32",F,3,verified,verified,
ECK0229,b0228,JW0218,yafM,"19, 20",C,5,verified,verified,
ECK0230,b0229,JW5811,fhiA,"87, 88",D,7,verified,verified,
ECK0231,b0230,JW5812,mbhA,"87, 88",E,7,verified,verified,
ECK0232,b0231,JW0221,dinB,"53, 54",D,11,verified,verified,
ECK0233,b0232,JW0222,yafN,"31, 32",H,4,verified,verified,
ECK0234,b0233,JW0223,yafO,"17, 18",E,8,verified,verified,
ECK0235,b0234,JW0224,yafP,"19, 20",D,5,verified,verified,
ECK0236,b0235,JW0225,ykfJ,"17, 18",F,8,verified,verified,
ECK0237,b0236,JW0226,prfH,"57, 58",A,4,verified,verified,
ECK0238,b0237,JW0227,pepD,"7, 8",D,10,verified,verified,
ECK0239,b0238,JW0228,gpt,"49, 50",D,5,verified,verified,
ECK0240,b0239,JW0229,frsA,"17, 18",G,8,verified,verified,
ECK0241,b0240,JW0230,crl,"43, 44",H,9,verified,verified,
ECK0242,b0241,JW0231,phoE,"43, 44",A,10,verified,verified,
ECK0243,b0242,JW0232,proB,"41, 42",B,3,verified,verified,
ECK0244,b0243,JW0233,proA,"41, 42",C,3,verified,verified,
ECK0246,b0245,JW0234,ykfI,"17, 18",H,8,verified,verified,
ECK0247,b0246,JW0235,yafW,"17, 18",A,9,verified,verified,
ECK0248,b4504,JW5956,ykfH,"17, 18",B,9,verified,use other isolate ,
ECK0249,b0247,JW0236,ykfG,"21, 22",D,5,verified,verified,
ECK0250,b0248,JW5022,yafX,"73, 74",A,12,verified,verified,
ECK0251,b0249,JW5023,ykfF,"73, 74",B,12,verified,verified,
ECK0252,b0250,JW0239,ykfB,"15, 16",C,2,verified,verified,
ECK0253,b0251,JW0240,yafY,"81, 82",F,2,use other isolate ,verified,1st-external
ECK0254,b0252,JW0242,yafZ,"15, 16",D,2,mixture,mixture,
ECK0255,b0253,JW0243,ykfA,"5, 6",B,9,verified,verified,
ECK0256,b0254,JW0244,perR,"1, 2",E,7,verified,verified,
ECK0260,b0258,JW5813,ykfC,"87, 88",F,7,verified,verified,
ECK0262,b0260,JW5027,mmuP,"67, 68",B,5,verified,verified,
ECK0263,b0261,JW0253,mmuM,"41, 42",D,3,verified,verified,
ECK0264,b0262,JW0254,afuC,"59, 60",E,6,verified,verified,
ECK0265,b0263,JW0255,afuB,"25, 26",F,5,verified,verified,
ECK0266,b4505,JW0258,ykgN,"81, 82",E,9,verified,verified,
ECK0267,b0266,JW0259,yagB,"15, 16",E,2,verified,verified,
ECK0268,b0267,JW0260,yagA,"21, 22",F,5,verified,verified,
ECK0269,b0268,JW0261,yagE,"81, 82",F,7,verified,verified,
ECK0270,b0269,JW0262,yagF,"81, 82",G,7,verified,verified,
ECK0272,b0271,JW0264,yagH,"83, 84",H,10,verified,verified,
ECK0273,b0272,JW0265,yagI,"81, 82",D,8,verified,verified,
ECK0274,b0273,JW0266,argF,"41, 42",E,3,verified,verified,
ECK0275,b0276,JW0270,yagJ,"15, 16",F,2,verified,verified,
ECK0276,b0277,JW0271,yagK,"15, 16",G,2,verified,verified,
ECK0277,b0278,JW0272,yagL,"79, 80",B,9,verified,verified,
ECK0278,b0279,JW0273,yagM,"31, 32",A,5,verified,verified,
ECK0279,b0280,JW0274,yagN,"31, 32",B,5,verified,verified,
ECK0280,b0281,JW0275,intF,"61, 62",B,10,verified,verified,
ECK0281,b0282,JW0276,yagP,"19, 20",D,12,verified,verified,
ECK0282,b0283,JW0277,yagQ,"19, 20",E,2,verified,verified,
ECK0283,b0284,JW0278,yagR,"21, 22",G,5,verified,verified,
ECK0284,b0285,JW0279,yagS,"21, 22",H,5,verified,verified,
ECK0285,b0286,JW0280,yagT,"81, 82",E,8,verified,verified,
ECK0286,b0287,JW0281,yagU,"15, 16",H,2,verified,verified,
ECK0287,b0288,JW0282,ykgJ,"15, 16",A,3,verified,verified,
ECK0288,b0289,JW5030,yagV,"73, 74",D,12,verified,verified,
ECK0289,b0290,JW0284,yagW,"15, 16",C,3,verified,verified,
ECK0290,b0291,JW0285,yagX,"79, 80",E,8,verified,verified,
ECK0291,b0292,JW0286,yagY,"15, 16",D,3,verified,verified,
ECK0292,b0293,JW0287,yagZ,"15, 16",E,3,verified,verified,
ECK0293,b0294,JW5031,ykgK,"73, 74",E,12,verified,verified,
ECK0294,b0295,JW5033,ykgL,"73, 74",F,12,verified,verified,
ECK0295,b4506,JW5034,ykgM,"67, 68",E,5,verified,verified,
ECK0296,b0296,JW5035,ykgM,"67, 68",F,5,verified,verified,
ECK0297,b0297,JW0291,eaeH,"65, 66",D,4,verified,verified,
ECK0300,b0300,JW5037,ykgA,"73, 74",G,12,verified,verified,
ECK0301,b0301,JW5038,ykgB,"87, 88",A,4,verified,verified,
ECK0302,b0303,JW5039,ykgI,"73, 74",H,12,verified,verified,
ECK0303,b0304,JW5040,ykgC,"67, 68",G,5,verified,verified,
ECK0304,b0305,JW0298,ykgD,"53, 54",F,7,verified,verified,
ECK0305,b0306,JW5041,ykgE,"87, 88",B,4,verified,verified,
ECK0306,b0307,JW0300,ykgF,"25, 26",G,5,verified,verified,
ECK0307,b0308,JW5042,ykgG,"75, 76",A,1,verified,verified,
ECK0308,b0310,JW0302,ykgH,"31, 32",F,5,verified,verified,
ECK0309,b0311,JW0303,betA,"45, 46",G,8,verified,verified,
ECK0310,b0312,JW0304,betB,"45, 46",H,8,verified,verified,
ECK0311,b0313,JW0305,betI,"1, 2",H,1,verified,use other isolate ,
ECK0312,b0314,JW0306,betT,"39, 40",A,12,mixture,mixture,
ECK0313,b0315,JW0307,yahA,"25, 26",H,5,verified,verified,
ECK0314,b0316,JW0308,yahB,"27, 28",E,11,verified,verified,
ECK0315,b0317,JW0309,yahC,"27, 28",F,11,verified,verified,
ECK0316,b0318,JW0310,yahD,"25, 26",A,6,use other isolate ,verified,
ECK0317,b0319,JW0311,yahE,"15, 16",F,3,verified,verified,
ECK0318,b0320,JW0312,yahF,"25, 26",B,6,verified,verified,
ECK0319,b0321,JW0313,yahG,"15, 16",G,3,verified,verified,
ECK0320,b0322,JW5893,yahH,"75, 76",B,1,verified,verified,
ECK0321,b0323,JW0315,yahI,"47, 48",E,2,verified,verified,
ECK0322,b0324,JW0316,yahJ,"61, 62",C,10,verified,verified,
ECK0323,b0325,JW0317,yahK,"27, 28",G,11,verified,verified,
ECK0324,b0326,JW0318,yahL,"5, 6",E,9,verified,verified,
ECK0325,b0327,JW5044,yahM,"75, 76",C,1,verified,verified,
ECK0326,b0328,JW0320,yahN,"81, 82",C,8,verified,verified,
ECK0327,b0329,JW0321,yahO,"15, 16",H,3,verified,verified,
ECK0328,b0330,JW0322,prpR,"7, 8",E,10,verified,verified,
ECK0329,b0331,JW0323,prpB,"79, 80",E,7,verified,verified,
ECK0330,b0333,JW0324,prpC,"1, 2",C,11,verified,verified,
ECK0331,b0334,JW0325,prpD,"27, 28",H,6,use other isolate ,verified,
ECK0332,b0335,JW0326,prpE,"85, 86",A,4,verified,verified,
ECK0333,b0336,JW0327,codB,"39, 40",B,12,verified,verified,
ECK0334,b0337,JW0328,codA,"49, 50",E,5,verified,verified,
ECK0335,b0338,JW5894,cynR,"1, 2",H,2,verified,verified,
ECK0336,b0339,JW0330,cynT,"47, 48",F,2,verified,verified,
ECK0337,b0340,JW0331,cynS,"47, 48",G,2,verified,verified,
ECK0338,b0341,JW0332,cynX,"39, 40",C,12,verified,verified,
ECK0339,b0342,JW0333,lacA,"85, 86",B,10,verified,verified,
ECK0340,b0343,JW0334,lacY,"85, 86",G,5,verified,verified,
ECK0342,b0345,JW0336,lacI,"49, 50",B,9,verified,verified,
ECK0343,b0346,JW0337,mhpR,"1, 2",F,6,verified,verified,
ECK0344,b0347,JW0338,mhpA,"49, 50",C,9,verified,verified,
ECK0345,b0348,JW0339,mhpB,"83, 84",A,12,verified,verified,
ECK0346,b0349,JW0340,mhpC,"59, 60",F,6,verified,verified,
ECK0347,b0350,JW0341,mhpD,"85, 86",C,10,verified,verified,
ECK0348,b0351,JW0342,mhpF,"49, 50",D,9,verified,verified,
ECK0349,b0352,JW0343,mhpE,"49, 50",E,9,verified,verified,
ECK0350,b0353,JW5046,mhpT,"67, 68",H,5,verified,verified,
ECK0351,b0354,JW0345,yaiL,"79, 80",F,8,verified,verified,
ECK0352,b0355,JW0346,frmB,"61, 62",D,10,verified,verified,
ECK0353,b0356,JW0347,frmA,"49, 50",F,9,verified,verified,
ECK0354,b0357,JW0348,frmR,"17, 18",C,11,verified,verified,
ECK0355,b0358,JW0349,yaiO,"15, 16",A,4,verified,verified,
ECK0356,b0359,JW0350,yaiX,"25, 26",C,6,verified,verified,
ECK0359,b0362,JW5814,yaiF,"87, 88",G,7,verified,verified,
ECK0360,b0363,JW0355,yaiP,"15, 16",B,4,verified,verified,
ECK0361,b0364,JW0356,yaiS,"15, 16",C,4,verified,verified,
ECK0362,b0365,JW0357,tauA,"59, 60",G,6,verified,verified,
ECK0363,b0366,JW0358,tauB,"39, 40",D,12,verified,verified,
ECK0364,b0367,JW0359,tauC,"39, 40",E,12,verified,verified,
ECK0365,b0368,JW0360,tauD,"27, 28",H,11,verified,verified,
ECK0367,b0370,JW5049,ykiB,"67, 68",B,6,verified,verified,
ECK0368,b0371,JW0362,yaiT,"81, 82",F,9,verified,verified,
ECK0369,b0374,JW5051,yaiU,"75, 76",E,1,verified,verified,
ECK0370,b0375,JW0366,yaiV,"15, 16",D,4,verified,verified,
ECK0371,b0376,JW5052,ampH,"85, 86",B,11,verified,verified,
ECK0372,b0377,JW0368,sbmA,"61, 62",E,10,verified,verified,
ECK0373,b0378,JW0369,yaiW,"15, 16",E,4,verified,verified,
ECK0374,b0379,JW0370,yaiY,"15, 16",F,4,verified,verified,
ECK0375,b0380,JW5053,yaiZ,"75, 76",F,1,verified,verified,
ECK0376,b0381,JW0372,ddlA,"43, 44",B,10,verified,verified,
ECK0377,b0382,JW0373,yaiB,"25, 26",E,6,verified,verified,
ECK0378,b0383,JW0374,phoA,"59, 60",H,6,verified,verified,
ECK0379,b0384,JW5054,psiF,"67, 68",C,6,verified,verified,
ECK0380,b0385,JW0376,yaiC,"25, 26",F,6,verified,verified,
ECK0381,b0386,JW0377,proC,"41, 42",F,3,verified,verified,
ECK0382,b0387,JW0378,yaiI,"17, 18",D,11,verified,verified,
ECK0383,b0388,JW0379,aroL,"41, 42",G,3,verified,verified,
ECK0384,b0389,JW0380,yaiA,"15, 16",H,4,verified,verified,
ECK0385,b0390,JW0381,aroM,"41, 42",H,3,verified,verified,
ECK0386,b0391,JW0382,yaiE,"15, 16",A,5,verified,verified,
ECK0387,b0392,JW0383,ykiA,"81, 82",G,9,verified,verified,
ECK0388,b0393,JW0384,rdgC,"19, 20",F,5,verified,verified,
ECK0389,b0394,JW0385,mak,"21, 22",D,1,verified,verified,
ECK0390,b0396,JW0386,araJ,"39, 40",F,12,verified,verified,
ECK0391,b0397,JW0387,sbcC,"39, 40",E,6,verified,verified,
ECK0392,b0398,JW0388,sbcD,"49, 50",F,5,verified,verified,
ECK0393,b0399,JW0389,phoB,"3, 4",G,8,verified,verified,
ECK0394,b0400,JW0390,phoR,"3, 4",H,8,verified,verified,
ECK0395,b0401,JW0391,brnQ,"39, 40",G,12,verified,verified,
ECK0396,b0402,JW5055,proY,"89, 90",E,11,verified,verified,
ECK0397,b0403,JW0393,malZ,"49, 50",G,9,verified,verified,
ECK0398,b0404,JW0394,yajB,"15, 16",B,5,verified,verified,
ECK0399,b0405,JW0395,queA,"57, 58",B,4,verified,verified,
ECK0400,b0406,JW0396,tgt,"57, 58",C,4,verified,verified,
ECK0401,b0407,JW0397,yajC,"25, 26",G,6,verified,verified,
ECK0404,b0410,JW0400,yajD,"15, 16",C,5,verified,verified,
ECK0405,b0411,JW0401,tsx,"5, 6",A,7,verified,verified,
ECK0406,b0412,JW5056,yajI,"75, 76",G,1,verified,verified,
ECK0407,b0413,JW0403,ybaD,"21, 22",A,4,verified,verified,
ECK0410,b0416,JW0406,nusB,"61, 62",H,7,verified,verified,
ECK0412,b0418,JW0408,pgpA,"49, 50",H,1,verified,verified,
ECK0413,b0419,JW0409,yajO,"27, 28",B,12,use other isolate ,verified,
ECK0416,b0422,JW0412,xseB,"49, 50",G,5,verified,verified,
ECK0417,b0423,JW0413,thiI,"43, 44",G,1,use other isolate ,verified,
ECK0418,b0424,JW5057,yajL,"85, 86",C,11,verified,verified,
ECK0419,b0425,JW0415,panE,"43, 44",H,1,verified,verified,
ECK0420,b0426,JW5058,yajQ,"75, 76",H,1,verified,verified,
ECK0421,b0427,JW5059,yajR,"75, 76",A,2,verified,verified,
ECK0422,b0428,JW0418,cyoE,"59, 60",A,7,verified,verified,
ECK0423,b0429,JW0419,cyoD,"1, 2",D,11,verified,verified,
ECK0424,b0430,JW0420,cyoC,"1, 2",E,11,verified,verified,
ECK0425,b0431,JW0421,cyoB,"1, 2",F,11,verified,verified,
ECK0426,b0432,JW0422,cyoA,"1, 2",G,11,verified,verified,
ECK0427,b0433,JW0423,ampG,"61, 62",F,10,verified,verified,
ECK0428,b0434,JW0424,yajG,"27, 28",C,12,verified,verified,
ECK0429,b0435,JW5060,bolA,"87, 88",C,4,verified,verified,
ECK0430,b0436,JW0426,tig,"29, 30",G,11,verified,verified,
ECK0431,b0437,JW0427,clpP,"7, 8",F,10,verified,use other isolate ,
ECK0432,b0438,JW0428,clpX,"7, 8",G,10,verified,verified,
ECK0433,b0439,JW0429,lon,"7, 8",H,10,verified,verified,
ECK0434,b0440,JW0430,hupB,"1, 2",A,5,verified,verified,
ECK0435,b0441,JW0431,ppiD,"43, 44",C,10,verified,verified,
ECK0436,b0442,JW0432,ybaV,"25, 26",A,7,verified,verified,
ECK0437,b0443,JW0433,ybaW,"21, 22",C,3,verified,verified,
ECK0438,b0444,JW0434,ybaX,"25, 26",B,7,verified,verified,
ECK0439,b0445,JW0435,ybaE,"25, 26",C,7,verified,verified,
ECK0440,b0446,JW0436,cof,"27, 28",A,7,verified,verified,
ECK0441,b0447,JW0437,ybaO,"27, 28",D,12,verified,verified,
ECK0442,b0448,JW0438,mdlA,"39, 40",H,12,verified,verified,
ECK0443,b0449,JW5061,mdlB,"67, 68",D,6,verified,verified,
ECK0444,b0450,JW0440,glnK,"53, 54",G,7,verified,verified,
ECK0445,b0451,JW0441,amtB,"41, 42",A,1,verified,verified,
ECK0446,b0452,JW0442,tesB,"49, 50",A,2,verified,verified,
ECK0447,b0453,JW0443,ybaY,"27, 28",E,12,verified,verified,
ECK0448,b0454,JW0444,ybaZ,"25, 26",D,7,verified,verified,
ECK0450,b0456,JW0445,ybaA,"61, 62",G,10,verified,verified,
ECK0451,b0457,JW5062,ylaB,"75, 76",B,2,verified,verified,
ECK0452,b0458,JW5063,ylaC,"75, 76",C,2,verified,verified,
ECK0453,b0459,JW0448,maa,"49, 50",H,9,verified,verified,
ECK0454,b0460,JW0449,hha,"5, 6",G,12,verified,verified,
ECK0455,b0461,JW0450,ybaJ,"81, 82",H,9,verified,verified,
ECK0456,b0462,JW0451,acrB,"41, 42",B,1,verified,verified,
ECK0457,b0463,JW0452,acrA,"85, 86",H,5,verified,verified,
ECK0458,b0464,JW0453,acrR,"85, 86",F,8,verified,verified,
ECK0459,b0465,JW0454,kefA,"41, 42",C,1,verified,verified,
ECK0460,b0466,JW0455,ybaM,"15, 16",E,5,verified,verified,
ECK0461,b0467,JW0456,priC,"39, 40",F,6,verified,verified,
ECK0462,b0468,JW0457,ybaN,"15, 16",F,5,verified,verified,
ECK0463,b0469,JW0458,apt,"85, 86",E,4,verified,verified,
